category,company_count,with_label_count,coverage_percentage,avg_labels
Meditation & Retreat Centers,24,24,100.0,2.79
Metal Fabrication Services,68,68,100.0,2.91
"Metal Plating, Polishing & Coloring",40,40,100.0,2.68
Metal Roofing,11,11,100.0,2.45
Party Rentals,20,20,100.0,2.6
Pathologists,2,2,100.0,3.0
Pavers,1,1,100.0,3.0
Pawn Shops & Pawnbrokers,1,1,100.0,3.0
Payment Processing & Point of Sale,14,14,100.0,2.5
Pediatrists,5,5,100.0,2.0
Personal Trainer,1,1,100.0,3.0
Pest Services & Agricultural Chemicals,14,14,100.0,2.36
Packing & Crating,46,46,100.0,2.78
Packing & Sealing Devices & Materials,3,3,100.0,3.0
Paintball Center,1,1,100.0,3.0
"Painting, Plastering & Wall Covering",9,9,100.0,2.56
"Paints, Coatings, Dyes & Pigments",41,41,100.0,2.71
Pallet Supplier,10,10,100.0,3.0
Paper & Cardboard Products,106,106,100.0,2.74
Parks,10,10,100.0,2.6
Ophthalmic & Optical Instruments & Lenses,30,30,100.0,2.43
Ophthalmologists,2,2,100.0,2.0
Optometrists,10,10,100.0,2.8
Orthopedic Clinics,8,8,100.0,2.38
Other Building Material Retailers,13,13,100.0,2.69
Other Engineering Services,14,14,100.0,2.71
Outdoor Advertising Services,11,11,100.0,2.82
Packaging Solutions,1,1,100.0,3.0
Nuts & Seeds,14,14,100.0,1.93
Occupational Therapy,3,3,100.0,2.67
Office & Industrial Cleaning,20,20,100.0,2.85
Office Furniture,24,24,100.0,2.75
Office Spaces,1,1,100.0,3.0
Office Supplies,47,47,100.0,2.77
Oil & Gas - Extraction & Distribution,82,82,100.0,2.45
Online Marketplace,2,2,100.0,3.0
Psychologists & Counseling Services,31,31,100.0,2.58
Public Relations Agencies,11,11,100.0,3.0
Pubs & Bars,7,7,100.0,2.29
Pumps & Hydraulics Manufacturing,36,36,100.0,2.56
RV Parks & Campgrounds,10,10,100.0,2.5
Race Tracks & Racing Supplies,11,11,100.0,2.09
Radio & Television Production,22,22,100.0,2.82
Radio Networks & Stations,10,10,100.0,2.8
Postal Service,14,14,100.0,2.43
Poultry & Egg Farms,49,49,100.0,2.41
Preschools & Kindergartens,1,1,100.0,3.0
Primary Schools,1,1,100.0,3.0
Process Servers,3,3,100.0,2.0
Promotional Merchandising,1,1,100.0,3.0
Property Management,20,20,100.0,2.7
Psychiatrists & Psychiatric Hospitals,5,5,100.0,3.0
